No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
262,Eastern,Ampara,Damana,2011-02-02,Gunshot,Female,3 Months,Infant,Intentional
263,North Western,Anuradhapura,Ipalogama,2011-02-04,Flood,Male,1 Week,Infant,Natural
264,North Western,Vavuniya,Vavuniya,2011-02-05,Gunshot,Female,30,Subadults and adults,Intentional
265,Mahaweli,Trincomalee,Gomarankadawala,2011-02-08,Unknown,Male,30-35,Subadults and adults,Unknown
266,Mahaweli,Trincomalee,Seruvila,2011-02-10,Unknown,Unknown,30,Subadults and adults,Unknown
267,YalaBundala,Hambantota,Lunugamvehera,2011-02-12,Poisned,Male,15-20,Subadults and adults,Intentional
268,Eastern,Ampara,Ampara,2011-02-12,Accident,Male,15-18,Subadults and adults,Unintentional
269,Mahaweli,Polonnaruwa,Hingurakgoda,2011-02-12,Accident,Male,20-25,Subadults and adults,Unintentional
270,Mahaweli,Trincomalee,Muttur,2011-02-12,Other,Female,4.5,Juvenile,Other
271,Eastern,Batticaloa,Eravur Pattu,2011-02-13,Gunshot,Male,25-30,Subadults and adults,Intentional
272,Mahaweli,Polonnaruwa,Welikanda,2011-02-15,Gunshot,Female,20-25,Subadults and adults,Intentional
273,Southern,Monaragala,Thanamalvila,2011-02-16,Electrocuted,Male,25-30,Subadults and adults,Unintentional
274,Eastern,Ampara,Samanthurai,2011-02-18,Gunshot,Male,45-50,Subadults and adults,Intentional
275,Mahaweli,Polonnaruwa,Welikanda,2011-02-19,Gunshot,Female,13,Subadults and adults,Intentional
276,North Western,Puttalam,Vanathavilluwa,2011-02-20,Accident,Male,25-30,Subadults and adults,Unintentional
277,North Western,Puttalam,Nawagattegama,2011-02-20,Gunshot,Female,20,Subadults and adults,Intentional
278,Southern,Monaragala,Thanamalvila,2011-02-20,Unknown,Male,35,Subadults and adults,Unknown
279,North Western,Anuradhapura,Nochchiyagama,2011-02-20,Unknown,Male,30-25,Subadults and adults,Unknown
280,Southern,Monaragala,Thanamalvila,2011-02-21,Gunshot,Male,7,Juvenile,Intentional
281,Southern,Monaragala,Wellawaya,2011-02-21,Gunshot,Male,35-40,Subadults and adults,Intentional
282,Eastern,Ampara,Ampara,2011-02-22,Gunshot,Female,40-45,Subadults and adults,Intentional
283,Mahaweli,Trincomalee,Seruvila,2011-02-25,Unknown,Unknown,5,Juvenile,Unknown
284,Mahaweli,Polonnaruwa,Welikanda,2011-02-27,Other,Female,4,Calf,Other
285,North Western,Puttalam,Nawagattegama,2011-02-28,Gunshot,Female,25,Subadults and adults,Intentional
286,Mahaweli,Trincomalee,Verugal,2011-03-04,Other,Male,3.5,Calf,Other
287,Southern,Monaragala,Thanamalvila,2011-03-05,Electrocuted,Male,30,Subadults and adults,Unintentional
288,Mahaweli,Polonnaruwa,Dimbulagala,2011-03-06,Unknown,Male,35,Subadults and adults,Unknown
289,North Western,Puttalam,Karuwalagaswewa,2011-03-07,Gunshot,Male,15-20,Subadults and adults,Intentional
290,Southern,Monaragala,Wellawaya,2011-03-10,Gunshot,Male,10,Juvenile,Intentional
291,Mahaweli,Polonnaruwa,Thamankaduwa,2011-03-10,Hakkapatas,Female,6,Juvenile,Intentional
292,Eastern,Batticaloa,Koralai Pattu North,2011-03-11,Unknown,Male,20-25,Subadults and adults,Unknown
293,Mahaweli,Trincomalee,Trincomalee Town and Gravets,2011-03-11,Train Accident,Female,10,Juvenile,Unintentional
294,Mahaweli,Polonnaruwa,Hingurakgoda,2011-03-13,Gunshot,Male,30,Subadults and adults,Intentional
295,Mahaweli,Polonnaruwa,Thamankaduwa,2011-03-19,Gunshot,Male,35-40,Subadults and adults,Intentional
296,Eastern,Batticaloa,Dimbulagala,2011-03-20,Gunshot,Male,25-30,Subadults and adults,Intentional
297,Mahaweli,Polonnaruwa,Medirigiriya,2011-03-22,Gunshot,Male,10,Juvenile,Intentional
298,Central,Badulla,Rideemaliyadda,2011-03-23,Accident,Male,35,Subadults and adults,Unintentional
299,Mahaweli,Polonnaruwa,Welikanda,2011-03-23,Hakkapatas,Male,25-30,Subadults and adults,Intentional
300,Mahaweli,Trincomalee,Kantalai,2011-03-23,Gunshot,Female,30,Subadults and adults,Intentional
301,Eastern,Monaragala,Siyambalanduwa,2011-03-24,Natural,Male,6 Months,Infant,Natural
302,North Western,Anuradhapura,Nachchadoowa,2011-03-28,Gunshot,Male,30,Subadults and adults,Intentional
303,North Western,Anuradhapura,Kekirawa,2011-03-28,Other,Male,25-30,Subadults and adults,Other
304,Mahaweli,Polonnaruwa,Dimbulagala,2011-03-29,Other,Male,17,Subadults and adults,Other
305,Mahaweli,Polonnaruwa,Dimbulagala,2011-03-31,Electrocuted,Male,45,Subadults and adults,Unintentional
306,North Western,Anuradhapura,Kahatagasdigiliya,2011-03-31,Gunshot,Male,35,Subadults and adults,Intentional
307,Eastern,Ampara,Uhana,2011-04-03,Electrocuted,Male,25-30,Subadults and adults,Unintentional
308,Mahaweli,Trincomalee,Trincomalee Town and Gravets,2011-04-05,Hakkapatas,Male,15-20,Subadults and adults,Intentional
309,Eastern,Ampara,Pothuvil,2011-04-08,Electrocuted,Male,4.5 Months,Infant,Unintentional
310,YalaBundala,Hambantota,Thissamaharama,2011-04-09,Unknown,Unknown,Unknown,Unknown,Unknown
311,Southern,Ratnapura,Weligepola,2011-04-10,Unknown,Male,40-45,Subadults and adults,Unknown
312,Mahaweli,Polonnaruwa,Medirigiriya,2011-04-10,Unknown,Female,2,Calf,Unknown
313,Mahaweli,Trincomalee,Morawewa,2011-04-10,Unknown,Male,15-18,Subadults and adults,Unknown
314,Mahaweli,Trincomalee,Kinniya,2011-04-12,Unknown,Female,6-8,Juvenile,Unknown
315,Mahaweli,Polonnaruwa,Lankapura,2011-04-13,Unknown,Unknown,15,Subadults and adults,Unknown
316,Mahaweli,Polonnaruwa,Hingurakgoda,2011-04-13,Train Accident,Female,30-35,Subadults and adults,Unintentional
317,Southern,Hambantota,Hambantota,2011-04-13,Poisned,Female,20-25,Subadults and adults,Intentional
318,Mahaweli,Polonnaruwa,Hingurakgoda,2011-04-13,Train Accident,Male,3,Calf,Unintentional
319,Southern,Hambantota,Hambantota,2011-04-14,Unknown,Male,Unknown,Unknown,Unknown
320,North Western,Anuradhapura,Kekirawa,2011-04-15,Accident,Female,1.5,Calf,Unintentional
321,North Western,Mannar,Musali,2011-04-16,Land mine,Male,25,Subadults and adults,Intentional
322,Eastern,Ampara,Koralai Pattu (Valachchenai),2011-04-17,Unknown,Female,35-40,Subadults and adults,Unknown
323,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2011-04-19,Poisned,Male,20-25,Subadults and adults,Intentional
324,Mahaweli,Batticaloa,Koralai Pattu North,2011-04-20,Hakkapatas,Male,22-23,Subadults and adults,Intentional
325,Mahaweli,Trincomalee,Morawewa,2011-04-20,Unknown,Male,25-30,Subadults and adults,Unknown
326,North Western,Anuradhapura,Palagala,2011-04-21,Gunshot,Male,25,Subadults and adults,Intentional
327,Mahaweli,Trincomalee,Kantalai,2011-04-21,Hakkapatas,Male,25-30,Subadults and adults,Intentional
328,Eastern,Ampara,Lahugala,2011-04-23,Hakkapatas,Male,35-40,Subadults and adults,Intentional
329,Central,Badulla,Kandaketiya,2011-04-24,Gunshot,Male,20,Subadults and adults,Intentional
330,Mahaweli,Matale,Naula,2011-04-25,Accident,Male,30-35,Subadults and adults,Unintentional
331,North Western,Anuradhapura,Horowpothana,2011-04-29,Unknown,Female,4.5,Juvenile,Unknown
332,Southern,Ratnapura,Embilipitiya,2011-04-30,Unknown,Unknown,4,Calf,Unknown
333,North Western,Anuradhapura,Palagala,2011-04-30,Poisned,Female,40-44,Subadults and adults,Intentional
334,Mahaweli,Trincomalee,Morawewa,2011-05-01,Hakkapatas,Male,12-15,Subadults and adults,Intentional
335,YalaBundala,Monaragala,Katharagama,2011-05-02,Unknown,Male,15-16,Subadults and adults,Unknown
336,Central,Kandy,Udadumbara,2011-05-03,Hakkapatas,Female,6,Juvenile,Intentional
337,North Western,Anuradhapura,Thalawa,2011-05-04,Electrocuted,Male,42,Subadults and adults,Unintentional
338,North Western,Anuradhapura,Nochchiyagama,2011-05-05,Accident,Male,16-20,Subadults and adults,Unintentional
339,Southern,Monaragala,Buttala,2011-05-05,Electrocuted,Male,3.5,Calf,Unintentional
340,North Western,Anuradhapura,Thalawa,2011-05-07,Gunshot,Male,35,Subadults and adults,Intentional
341,Mahaweli,Matale,Dambulla,2011-05-09,Body destroyed,Male,15-20,Subadults and adults,Unknown
342,Mahaweli,Trincomalee,Gomarankadawala,2011-05-13,Hakkapatas,Female,15-20,Subadults and adults,Intentional
343,Mahaweli,Trincomalee,Kantalai,2011-05-13,Gunshot,Female,20-25,Subadults and adults,Intentional
344,Mahaweli,Trincomalee,Kantalai,2011-05-18,Hakkapatas,Male,4-5,Juvenile,Intentional
345,Eastern,Batticaloa,Eravur Pattu,2011-05-18,Gunshot,Male,10-15,Unknown,Intentional
346,Mahaweli,Trincomalee,Morawewa,2011-05-21,Hakkapatas,Female,25-30,Subadults and adults,Intentional
347,North Western,Puttalam,Puttalam,2011-05-26,Poisned,Male,40,Subadults and adults,Intentional
348,Mahaweli,Trincomalee,Morawewa,2011-05-28,Unknown,Unknown,7-8,Juvenile,Unknown
349,Mahaweli,Trincomalee,Morawewa,2011-05-30,Hakkapatas,Female,20-25,Subadults and adults,Intentional
350,Southern,Ratnapura,Embilipitiya,2011-05-31,Unknown,Unknown,Unknown,Unknown,Unknown
351,Southern,Ratnapura,Embilipitiya,2011-05-31,Unknown,Unknown,Unknown,Unknown,Unknown
352,Southern,Ratnapura,Embilipitiya,2011-05-31,Unknown,Unknown,4,Calf,Unknown
353,North Western,Kurunegala,Galgamuwa,2011-06-01,Electrocuted,Male,35,Subadults and adults,Unintentional
354,Mahaweli,Polonnaruwa,Thamankaduwa,2011-06-09,Unknown,Male,18-20,Subadults and adults,Unknown
355,Eastern,Batticaloa,Eravur Pattu,2011-06-10,Hakkapatas,Male,15-20,Subadults and adults,Intentional
356,Mahaweli,Polonnaruwa,Welikanda,2011-06-11,Body destroyed,Female,16-17,Subadults and adults,Unknown
357,North Western,Puttalam,Puttalam,2011-06-14,Body destroyed,Male,30,Subadults and adults,Unknown
358,North Western,Kurunegala,Ambanpola,2011-06-17,Train Accident,Female,18,Subadults and adults,Unintentional
359,North Western,Kurunegala,Kurunegala,2011-06-17,Train Accident,Female,20,Subadults and adults,Unintentional
360,North Western,Kurunegala,Kurunegala,2011-06-17,Train Accident,Female,2-3,Calf,Unintentional
361,Eastern,Ampara,Mahaoya,2011-06-20,Gunshot,Male,40-45,Subadults and adults,Intentional
362,Mahaweli,Ampara,Mahaoya,2011-06-22,Natural,Male,25,Subadults and adults,Natural
363,North Western,Anuradhapura,Thirappane,2011-06-23,Gunshot,Female,23-30,Subadults and adults,Intentional
364,YalaBundala,Hambantota,Thissamaharama,2011-06-24,Other,Female,12-14,Subadults and adults,Other
365,North Western,Kurunegala,Ehetuwewa,2011-06-25,Gunshot,Female,6,Juvenile,Intentional
366,North Western,Kurunegala,Giribawa,2011-06-29,Gunshot,Female,30,Subadults and adults,Intentional
367,Mahaweli,Matale,Wilgamuwa,2011-06-29,Unknown,Male,35-40,Subadults and adults,Unknown
368,North Western,Vavuniya,Vavuniya North,2011-07-01,Gunshot,Male,25,Subadults and adults,Intentional
369,Mahaweli,Matale,Wilgamuwa,2011-07-03,Gunshot,Male,25-30,Subadults and adults,Intentional
370,North Western,Anuradhapura,Medawachchiya,2011-07-05,Gunshot,Male,22,Subadults and adults,Intentional
371,Mahaweli,Badulla,Mahiyanganaya,2011-07-06,Gunshot,Male,30-35,Subadults and adults,Intentional
372,Mahaweli,Polonnaruwa,Hingurakgoda,2011-07-08,Unknown,Unknown,20-25,Subadults and adults,Unknown
373,North Western,Puttalam,Karuwalagaswewa,2011-07-08,Accident,Male,35,Subadults and adults,Unintentional
374,Mahaweli,Polonnaruwa,Thamankaduwa,2011-07-09,Other,Male,10-12,Juvenile,Other
375,Mahaweli,Polonnaruwa,Elahera,2011-07-10,Unknown,Male,30-35,Subadults and adults,Unknown
376,Mahaweli,Polonnaruwa,Thamankaduwa,2011-07-10,Unknown,Male,10-12,Juvenile,Unknown
377,Mahaweli,Badulla,Mahiyanganaya,2011-07-13,Gunshot,Male,30-35,Subadults and adults,Intentional
378,Mahaweli,Trincomalee,Kantalai,2011-07-14,Hakkapatas,Male,7-8,Juvenile,Intentional
379,North Western,Kurunegala,Kotavehera,2011-07-14,Poisned,Female,25,Subadults and adults,Intentional
380,YalaBundala,Hambantota,Thissamaharama,2011-07-16,Gunshot,Male,8,Juvenile,Intentional
381,Mahaweli,Polonnaruwa,Medirigiriya,2011-07-17,Broken the Spinal,Male,25-30,Subadults and adults,Natural
382,North Western,Kurunegala,Kotavehera,2011-07-20,Poisned,Male,40,Subadults and adults,Intentional
383,Eastern,Ampara,Mahaoya,2011-07-21,Gunshot,Male,15-20,Subadults and adults,Intentional
384,Mahaweli,Polonnaruwa,Palugaswewa,2011-07-23,Unknown,Male,40-45,Subadults and adults,Unknown
385,North Western,Kurunegala,Ehetuwewa,2011-07-23,Unknown,Female,30,Subadults and adults,Unknown
386,Mahaweli,Trincomalee,Kuchchaveli,2011-07-24,Unknown,Unknown,20-25,Subadults and adults,Unknown
387,Mahaweli,Polonnaruwa,Medirigiriya,2011-07-27,Unknown,Male,25-30,Subadults and adults,Unknown
388,Southern,Badulla,Hildummulla,2011-07-28,Body destroyed,Unknown,25-30,Subadults and adults,Unknown
389,Mahaweli,Badulla,Mahiyanganaya,2011-07-29,Hakkapatas,Male,20-25,Subadults and adults,Intentional
390,Mahaweli,Polonnaruwa,Medirigiriya,2011-07-29,Hakkapatas,Male,20-25,Subadults and adults,Intentional
391,North Western,Kurunegala,Galgamuwa,2011-07-30,Unknown,Female,25,Subadults and adults,Unknown
392,North Western,Puttalam,Karuwalagaswewa,2011-08-03,Poisned,Female,25-30,Subadults and adults,Intentional
393,Southern,Monaragala,Thanamalvila,2011-08-04,Gunshot,Male,25,Subadults and adults,Intentional
394,North Western,Kurunegala,Ambanpola,2011-08-06,Poisned,Female,25,Subadults and adults,Intentional
395,Southern,Hambantota,Lunugamvehera,2011-08-08,Unknown,Male,12,Juvenile,Unknown
396,Mahaweli,Polonnaruwa,Dimbulagala,2011-08-12,Train Accident,Male,8-10,Juvenile,Unintentional
397,North Western,Anuradhapura,Horowpothana,2011-08-15,Unknown,Unknown,Unknown,Unknown,Unknown
398,Eastern,Ampara,Mahaoya,2011-08-15,Poisned,Female,25-30,Subadults and adults,Intentional
399,Eastern,Ampara,Damana,2011-08-20,Gunshot,Male,15-20,Subadults and adults,Intentional
400,Eastern,Ampara,Damana,2011-08-20,Gunshot,Male,15-20,Subadults and adults,Intentional
401,North Western,Anuradhapura,Palugaswewa,2011-08-22,Gunshot,Male,35-40,Subadults and adults,Intentional
402,Eastern,Ampara,Samanthurai,2011-08-23,Poisned,Male,4-5,Juvenile,Intentional
403,Eastern,Monaragala,Madulla,2011-08-23,Gunshot,Male,30-35,Subadults and adults,Intentional
404,North Western,Vavuniya,Vavuniya,2011-08-23,Hakkapatas,Female,5-6,Juvenile,Intentional
405,Mahaweli,Trincomalee,Morawewa,2011-08-24,Hakkapatas,Female,25-30,Subadults and adults,Intentional
406,North Western,Anuradhapura,Horowpothana,2011-08-24,Unknown,Unknown,1,Calf,Unknown
407,North Western,Anuradhapura,Kahatagasdigiliya,2011-08-25,Unknown,Male,3,Calf,Unknown
408,North Western,Puttalam,Nawagattegama,2011-08-26,Unknown,Female,25,Subadults and adults,Unknown
409,Southern,Hambantota,Lunugamvehera,2011-08-27,Unknown,Female,8,Juvenile,Unknown
410,Mahaweli,Trincomalee,Kantalai,2011-08-28,Unknown,Male,20-25,Subadults and adults,Unknown
411,YalaBundala,Monaragala,Buttala,2011-08-29,Natural,Male,1 Week,Infant,Natural
412,Eastern,Ampara,Uhana,2011-08-29,Other,Female,25-30,Subadults and adults,Other
413,Southern,Ratnapura,Embilipitiya,2011-08-31,Unknown,Unknown,4,Calf,Unknown
414,Mahaweli,Trincomalee,Morawewa,2011-09-01,Hakkapatas,Male,10-15,Unknown,Intentional
415,North Western,Vavuniya,Padaviya,2011-09-02,Unknown,Female,Unknown,Unknown,Unknown
416,Southern,Hambantota,Hambantota,2011-09-03,Electrocuted,Male,35,Subadults and adults,Unintentional
417,North Western,Anuradhapura,Horowpothana,2011-09-05,Injured,Unknown,6,Juvenile,Natural
418,North Western,Anuradhapura,Horowpothana,2011-09-06,Hakkapatas,Female,15-20,Subadults and adults,Intentional
419,North Western,Anuradhapura,Horowpothana,2011-09-08,Hakkapatas,Male,7,Juvenile,Intentional
420,North Western,Puttalam,Karuwalagaswewa,2011-09-09,Unknown,Unknown,6,Juvenile,Unknown
421,North Western,Anuradhapura,Kahatagasdigiliya,2011-09-09,Injured,Male,3,Calf,Natural
422,Eastern,Ampara,Mahaoya,2011-09-13,Gunshot,Female,35-40,Subadults and adults,Intentional
423,North Western,Kurunegala,Galgamuwa,2011-09-15,Gunshot,Male,40,Subadults and adults,Intentional
424,Mahaweli,Trincomalee,Kantalai,2011-09-19,Gunshot,Male,10-12,Juvenile,Intentional
425,Mahaweli,Polonnaruwa,Hingurakgoda,2011-09-20,Train Accident,Male,10-12,Juvenile,Unintentional
426,Mahaweli,Polonnaruwa,Hingurakgoda,2011-09-20,Train Accident,Male,9 Months,Infant,Unintentional
427,North Western,Anuradhapura,Palugaswewa,2011-09-28,Unknown,Male,8-9,Juvenile,Unknown
428,Southern,Ratnapura,Embilipitiya,2011-09-30,Unknown,Unknown,4,Calf,Unknown
429,North Western,Anuradhapura,Thirappane,2011-09-30,Injured,Female,45,Subadults and adults,Natural
430,Mahaweli,Polonnaruwa,Thamankaduwa,2011-10-01,Hakkapatas,Female,18,Subadults and adults,Intentional
431,North Western,Anuradhapura,Unknown,2011-10-01,Unknown,Female,49,Subadults and adults,Unknown
432,YalaBundala,Hambantota,Hambantota,2011-10-01,Natural,Female,5,Juvenile,Natural
433,Mahaweli,Matale,Dambulla,2011-10-01,Accident,Unknown,6-7,Juvenile,Unintentional
434,Mahaweli,Polonnaruwa,Dimbulagala,2011-10-04,Poisned,Male,35,Subadults and adults,Intentional
435,North Western,Mannar,Musali,2011-10-05,Land mine,Unknown,20-25,Subadults and adults,Intentional
436,North Western,Mannar,Musali,2011-10-05,Unknown,Unknown,3-4,Calf,Unknown
437,Southern,Monaragala,Buttala,2011-10-05,Unknown,Female,18,Subadults and adults,Unknown
438,Southern,Ratnapura,Weligepola,2011-10-05,Unknown,Male,25,Subadults and adults,Unknown
439,North Western,Anuradhapura,Kekirawa,2011-10-06,Poisned,Male,4,Calf,Intentional
440,North Western,Vavuniya,Vavuniya,2011-10-07,Unknown,Female,25,Subadults and adults,Unknown
441,North Western,Anuradhapura,Unknown,2011-10-07,Other,Male,12-15,Subadults and adults,Other
442,Southern,Ratnapura,Balangoda,2011-10-12,Natural,Female,30,Subadults and adults,Natural
443,North Western,Anuradhapura,Medawachchiya,2011-10-15,Unknown,Male,30,Subadults and adults,Unknown
444,North Western,Anuradhapura,Horowpothana,2011-10-17,Hakkapatas,Female,28,Subadults and adults,Intentional
445,North Western,Anuradhapura,Kekirawa,2011-10-17,Electrocuted,Male,5,Juvenile,Unintentional
446,North Western,Anuradhapura,Kekirawa,2011-10-19,Unknown,Male,7,Juvenile,Unknown
447,Mahaweli,Polonnaruwa,Elahera,2011-10-23,Hakkapatas,Male,Unknown,Unknown,Intentional
448,Mahaweli,Polonnaruwa,Dimbulagala,2011-10-24,Accident,Female,12,Juvenile,Unintentional
449,North Western,Anuradhapura,Thalawa,2011-10-26,Unknown,Male,30,Subadults and adults,Unknown
450,North Western,Anuradhapura,Kekirawa,2011-10-27,Unknown,Female,25,Subadults and adults,Unknown
451,Mahaweli,Ampara,Dehiattakandiya,2011-10-31,Unknown,Male,35-40,Subadults and adults,Unknown
452,North Western,Puttalam,Puttalam,2011-11-01,Accident,Male,35,Subadults and adults,Unintentional
453,Eastern,Batticaloa,Eravur Pattu,2011-11-02,Hakkapatas,Male,25-28,Subadults and adults,Intentional
454,Southern,Ratnapura,Balangoda,2011-11-04,Gunshot,Male,30-35,Subadults and adults,Intentional
455,North Western,Anuradhapura,Kekirawa,2011-11-06,Hakkapatas,Male,6,Juvenile,Intentional
456,North Western,Anuradhapura,Maha Vilachchiya,2011-11-07,Unknown,Male,Unknown,Unknown,Unknown
457,North Western,Kurunegala,Galgamuwa,2011-11-08,Train Accident,Female,10,Juvenile,Unintentional
458,Mahaweli,Trincomalee,Seruvila,2011-11-09,Hakkapatas,Male,30-35,Subadults and adults,Intentional
459,Mahaweli,Ampara,Mahaoya,2011-11-10,Hakkapatas,Male,25,Subadults and adults,Intentional
460,Southern,Monaragala,Sevanagala,2011-11-11,Unknown,Unknown,Unknown,Unknown,Unknown
461,Mahaweli,Trincomalee,Morawewa,2011-11-11,Hakkapatas,Female,30-35,Subadults and adults,Intentional
462,Mahaweli,Trincomalee,Kuchchaveli,2011-11-12,Unknown,Female,30-35,Subadults and adults,Unknown
463,Mahaweli,Polonnaruwa,Dimbulagala,2011-11-17,Unknown,Male,20,Subadults and adults,Unknown
464,North Western,Mannar,Musali,2011-11-18,Unknown,Female,10-15,Unknown,Unknown
465,Mahaweli,Trincomalee,Seruvila,2011-11-21,Hakkapatas,Male,30,Subadults and adults,Intentional
466,YalaBundala,Hambantota,Thissamaharama,2011-11-22,Unknown,Male,30-35,Subadults and adults,Unknown
467,Eastern,Monaragala,Siyambalanduwa,2011-11-24,Natural,Male,3-4,Calf,Natural
468,North Western,Anuradhapura,N. Palatha Central,2011-11-27,Poisned,Male,Unknown,Unknown,Intentional
469,North Western,Kilinochchi,Oddusuddan,2011-11-29,Electrocuted,Male,18,Subadults and adults,Unintentional
470,Mahaweli,Polonnaruwa,Hingurakgoda,2011-12-02,Train Accident,Female,8-10,Juvenile,Unintentional
471,North Western,Puttalam,Puttalam,2011-12-02,Electrocuted,Unknown,15,Subadults and adults,Unintentional
472,Mahaweli,Matale,Wilgamuwa,2011-12-04,Natural,Male,45,Subadults and adults,Natural
